,prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
0,16/1-12 Troldhaugen,2021,0.0,0.007,0.0,0.0,0.007,0.032,17196400
1,16/1-12 Troldhaugen,2022,0.008,0.014,0.0,0.0,0.022,0.162,17196400
2,16/1-12 Troldhaugen,2023,0.049,0.011,0.0,0.0,0.06,0.106,17196400
3,16/1-12 Troldhaugen,2024,0.013,0.003,0.001,0.0,0.017,0.031,17196400
4,33/9-6 DELTA,2009,0.01,0.0,0.0,0.0,0.01,0.011,44576
5,33/9-6 DELTA,2010,0.021,0.0,0.0,0.0,0.021,0.038,44576
6,33/9-6 DELTA,2011,0.019,0.0,0.0,0.0,0.019,0.007,44576
7,33/9-6 DELTA,2012,0.013,0.0,0.0,0.0,0.013,0.004,44576
8,33/9-6 DELTA,2013,0.004,0.0,0.0,0.0,0.004,0.001,44576
9,33/9-6 DELTA,2014,0.001,0.0,0.0,0.0,0.001,0.0,44576
10,7220/11-1 (Alta),2018,0.106,0.0,0.0,0.0,0.106,0.003,25288497
11,ALBUSKJELL,1979,0.531,0.652,0.06,0.0,1.243,0.0,43437
12,ALBUSKJELL,1980,1.442,1.779,0.208,0.0,3.428,0.0,43437
13,ALBUSKJELL,1981,1.426,2.249,0.268,0.0,3.943,0.0,43437
14,ALBUSKJELL,1982,0.953,1.998,0.251,0.0,3.202,0.0,43437
15,ALBUSKJELL,1983,0.697,1.655,0.253,0.0,2.605,0.0,43437
16,ALBUSKJELL,1984,0.462,1.183,0.169,0.0,1.814,0.0,43437
17,ALBUSKJELL,1985,0.357,1.026,0.157,0.0,1.54,0.0,43437
18,ALBUSKJELL,1986,0.285,0.946,0.129,0.0,1.36,0.0,43437
19,ALBUSKJELL,1987,0.216,0.778,0.106,0.0,1.1,0.0,43437
20,ALBUSKJELL,1988,0.176,0.613,0.096,0.0,0.884,0.0,43437
21,ALBUSKJELL,1989,0.142,0.456,0.067,0.0,0.665,0.0,43437
22,ALBUSKJELL,1990,0.109,0.339,0.046,0.0,0.493,0.0,43437
23,ALBUSKJELL,1991,0.091,0.271,0.031,0.0,0.393,0.0,43437
24,ALBUSKJELL,1992,0.087,0.266,0.027,0.0,0.38,0.0,43437
25,ALBUSKJELL,1993,0.096,0.309,0.033,0.0,0.437,0.0,43437
26,ALBUSKJELL,1994,0.081,0.264,0.028,0.0,0.373,0.0,43437
27,ALBUSKJELL,1995,0.074,0.236,0.024,0.0,0.335,0.0,43437
28,ALBUSKJELL,1996,0.054,0.218,0.021,0.0,0.293,0.0,43437
29,ALBUSKJELL,1997,0.046,0.192,0.02,0.0,0.258,0.0,43437
30,ALBUSKJELL,1998,0.03,0.106,0.012,0.0,0.147,0.0,43437
31,ALVE,2009,0.259,0.9,0.313,0.0,1.472,0.003,4444332
32,ALVE,2010,0.244,0.839,0.289,0.0,1.372,0.0,4444332
33,ALVE,2011,0.318,0.747,0.27,0.0,1.335,0.002,4444332
34,ALVE,2012,0.243,0.505,0.187,0.0,0.935,0.0,4444332
35,ALVE,2013,0.136,0.318,0.115,0.0,0.569,0.002,4444332
36,ALVE,2014,0.185,0.539,0.184,0.0,0.908,0.005,4444332
37,ALVE,2015,0.152,0.459,0.159,0.0,0.77,0.001,4444332
38,ALVE,2016,0.146,0.446,0.155,0.0,0.747,0.001,4444332
39,ALVE,2017,0.176,0.756,0.247,0.0,1.179,0.013,4444332
40,ALVE,2018,0.137,0.63,0.222,0.0,0.988,0.024,4444332
41,ALVE,2019,0.117,0.573,0.197,0.0,0.887,0.013,4444332
